image_id,image_name,ai_results,ai_confidence,ai_accuracy,true_answer
shu_100,shu2/shu_100.jpg,shu,1,low,shu
shu_102,shu2/shu_102.jpg,shu,0.67,low,shu
shu_103,shu2/shu_103.jpg,shu,1,low,shu
shu_105,shu2/shu_105.jpg,shu,1,low,shu
shu_106,shu2/shu_106.jpg,shu,0.74,low,shu
shu_111,shu2/shu_111.jpg,shu,0.82,low,shu
shu_112,shu2/shu_112.jpg,shu,1,low,shu
shu_113,shu2/shu_113.jpg,shu,0.51,low,shu
shu_114,shu2/shu_114.jpg,shu,1,low,shu
shu_118,shu2/shu_118.jpg,huka,0.72,low,shu
shu_120,shu2/shu_120.jpg,shu,0.88,low,shu
shu_121,shu2/shu_121.jpg,shu,1,low,shu
shu_123,shu2/shu_123.jpg,shu,1,low,shu
shu_124,shu2/shu_124.jpg,shu,1,low,shu
shu_126,shu2/shu_126.jpg,shu,1,low,shu
shu_128,shu2/shu_128.jpg,shu,0.96,low,shu
shu_133,shu2/shu_133.jpg,shu,1,low,shu
shu_134,shu2/shu_134.jpg,shu,1,low,shu
shu_135,shu2/shu_135.jpg,shu,1,low,shu
shu_137,shu2/shu_137.jpg,shu,1,low,shu
shu_139,shu2/shu_139.jpg,huka,0.63,low,shu
shu_140,shu2/shu_140.jpg,shu,1,low,shu
shu_141,shu2/shu_141.jpg,shu,1,low,shu
shu_143,shu2/shu_143.jpg,shu,1,low,shu
shu_145,shu2/shu_145.jpg,shu,1,low,shu
shu_147,shu2/shu_147.jpg,shu,0.72,low,shu
shu_148,shu2/shu_148.jpg,shu,1,low,shu
shu_149,shu2/shu_149.jpg,shu,1,low,shu
shu_151,shu2/shu_151.jpg,shu,1,low,shu
shu_155,shu2/shu_155.jpg,shu,1,low,shu
shu_156,shu2/shu_156.jpg,shu,1,low,shu
shu_159,shu2/shu_159.jpg,shu,1,low,shu
shu_162,shu2/shu_162.jpg,shu,1,low,shu
shu_163,shu2/shu_163.jpg,shu,1,low,shu
shu_164,shu2/shu_164.jpg,shu,1,low,shu
shu_165,shu2/shu_165.jpg,shu,1,low,shu
shu_169,shu2/shu_169.jpg,shu,1,low,shu
shu_173,shu2/shu_173.jpg,shu,1,low,shu
shu_175,shu2/shu_175.jpg,shu,0.62,low,shu
shu_178,shu2/shu_178.jpg,huka,0.65,low,shu
