image_id,image_name,ai_results,ai_confidence,ai_accuracy,true_answer,Age
huka_100,huka2/huka_100.jpg,秀,0.65,low,不可,25
huka_102,huka2/huka_102.jpg,不可,0.96,low,不可,38
huka_103,huka2/huka_103.jpg,不可,0.96,low,不可,28
huka_104,huka2/huka_104.jpg,不可,1,low,不可,44
huka_106,huka2/huka_106.jpg,不可,1,low,不可,18
huka_107,huka2/huka_107.jpg,不可,0.85,low,不可,34
huka_108,huka2/huka_108.jpg,不可,1,low,不可,29
huka_112,huka2/huka_112.jpg,不可,1,low,不可,63
huka_114,huka2/huka_114.jpg,不可,0.77,low,不可,24
huka_116,huka2/huka_116.jpg,不可,1,low,不可,55
huka_119,huka2/huka_119.jpg,不可,1,low,不可,65
huka_121,huka2/huka_121.jpg,不可,1,low,不可,36
huka_124,huka2/huka_124.jpg,不可,0.96,low,不可,26
huka_125,huka2/huka_125.jpg,不可,1,low,不可,58
huka_126,huka2/huka_126.jpg,不可,1,low,不可,48
huka_127,huka2/huka_127.jpg,不可,1,low,不可,43
huka_128,huka2/huka_128.jpg,不可,1,low,不可,20
huka_129,huka2/huka_129.jpg,不可,1,low,不可,43
huka_131,huka2/huka_131.jpg,不可,0.8,low,不可,37
huka_135,huka2/huka_135.jpg,不可,1,low,不可,40
huka_138,huka2/huka_138.jpg,不可,1,low,不可,40
huka_142,huka2/huka_142.jpg,不可,1,low,不可,25
huka_143,huka2/huka_143.jpg,不可,1,low,不可,38
huka_146,huka2/huka_146.jpg,不可,0.96,low,不可,28
huka_149,huka2/huka_149.jpg,不可,0.93,low,不可,44
huka_150,huka2/huka_150.jpg,不可,1,low,不可,18
huka_152,huka2/huka_152.jpg,不可,1,low,不可,34
huka_157,huka2/huka_157.jpg,秀,0.64,low,不可,29
huka_160,huka2/huka_160.jpg,不可,1,low,不可,63
huka_161,huka2/huka_161.jpg,不可,1,low,不可,24
huka_162,huka2/huka_162.jpg,不可,0.96,low,不可,55
huka_163,huka2/huka_163.jpg,不可,1,low,不可,65
huka_165,huka2/huka_165.jpg,秀,1,low,不可,36
huka_166,huka2/huka_166.jpg,秀,0.57,low,不可,26
huka_167,huka2/huka_167.jpg,秀,0.96,low,不可,58
huka_172,huka2/huka_172.jpg,不可,0.65,low,不可,48
huka_174,huka2/huka_174.jpg,不可,1,low,不可,43
huka_176,huka2/huka_176.jpg,不可,0.96,low,不可,20
huka_178,huka2/huka_178.jpg,秀,0.64,low,不可,43
huka_179,huka2/huka_179.jpg,不可,0.96,low,不可,37
